CustomerID,Product,Amount
5524,Wines,635
5524,Fruits,88
5524,MeatProducts,546
5524,FishProducts,172
5524,SweetProducts,88
5524,GoldProds,88
2174,Wines,11
2174,Fruits,1
2174,MeatProducts,6
2174,FishProducts,2
2174,SweetProducts,1
2174,GoldProds,6
4141,Wines,426
4141,Fruits,49
4141,MeatProducts,127
4141,FishProducts,111
4141,SweetProducts,21
4141,GoldProds,42
6182,Wines,11
6182,Fruits,4
6182,MeatProducts,20
6182,FishProducts,10
6182,SweetProducts,3
6182,GoldProds,5
5324,Wines,173
5324,Fruits,43
5324,MeatProducts,118
5324,FishProducts,46
5324,SweetProducts,27
5324,GoldProds,15
7446,Wines,520
7446,Fruits,42
7446,MeatProducts,98
7446,SweetProducts,42
7446,GoldProds,14
965,Wines,235
965,Fruits,65
965,MeatProducts,164
965,FishProducts,50
965,SweetProducts,49
965,GoldProds,27
6177,Wines,76
6177,Fruits,10
6177,MeatProducts,56
6177,FishProducts,3
6177,SweetProducts,1
6177,GoldProds,23
4855,Wines,14
4855,MeatProducts,24
4855,FishProducts,3
4855,SweetProducts,3
4855,GoldProds,2
5899,Wines,28
5899,MeatProducts,6
5899,FishProducts,1
5899,SweetProducts,1
5899,GoldProds,13
1994,Wines,5
1994,Fruits,5
1994,MeatProducts,6
1994,SweetProducts,2
1994,GoldProds,1
387,Wines,6
387,Fruits,16
387,MeatProducts,11
387,FishProducts,11
387,SweetProducts,1
387,GoldProds,16
2125,Wines,194
2125,Fruits,61
2125,MeatProducts,480
2125,FishProducts,225
2125,SweetProducts,112
2125,GoldProds,30
8180,Wines,233
8180,Fruits,2
8180,MeatProducts,53
8180,FishProducts,3
8180,SweetProducts,5
8180,GoldProds,14
2569,Wines,3
2569,Fruits,14
2569,MeatProducts,17
2569,FishProducts,6
2569,SweetProducts,1
2569,GoldProds,5
2114,Wines,1006
2114,Fruits,22
2114,MeatProducts,115
2114,FishProducts,59
2114,SweetProducts,68
2114,GoldProds,45
9736,Wines,53
9736,Fruits,5
9736,MeatProducts,19
9736,FishProducts,2
9736,SweetProducts,13
9736,GoldProds,4
4939,Wines,84
4939,Fruits,5
4939,MeatProducts,38
4939,FishProducts,150
4939,SweetProducts,12
4939,GoldProds,28
6565,Wines,1012
6565,Fruits,80
6565,MeatProducts,498
6565,SweetProducts,16
6565,GoldProds,176
2278,Wines,4
2278,Fruits,17
2278,MeatProducts,19
2278,FishProducts,30
2278,SweetProducts,24
2278,GoldProds,39
9360,Wines,86
9360,Fruits,2
9360,MeatProducts,73
9360,FishProducts,69
9360,SweetProducts,38
9360,GoldProds,48
5376,Wines,1
5376,Fruits,1
5376,MeatProducts,1725
5376,FishProducts,1
5376,SweetProducts,1
5376,GoldProds,1
1993,Wines,867
1993,MeatProducts,86
1993,GoldProds,19
4047,Wines,384
4047,MeatProducts,102
4047,FishProducts,21
4047,SweetProducts,32
4047,GoldProds,5
1409,Wines,270
1409,Fruits,3
1409,MeatProducts,27
1409,FishProducts,39
1409,SweetProducts,6
1409,GoldProds,99
7892,Wines,6
7892,Fruits,4
7892,MeatProducts,25
7892,FishProducts,15
7892,SweetProducts,12
7892,GoldProds,13
2404,Wines,173
2404,Fruits,4
2404,MeatProducts,30
2404,FishProducts,3
2404,SweetProducts,6
2404,GoldProds,41
5255,Wines,5
5255,Fruits,1
5255,MeatProducts,3
5255,FishProducts,3
5255,SweetProducts,263
5255,GoldProds,362
9422,Wines,36
9422,Fruits,2
9422,MeatProducts,42
9422,FishProducts,20
9422,SweetProducts,21
9422,GoldProds,10
1966,Wines,684
1966,Fruits,100
1966,MeatProducts,801
1966,FishProducts,21
1966,SweetProducts,66
6864,Wines,8
6864,Fruits,4
6864,MeatProducts,10
6864,FishProducts,2
6864,SweetProducts,2
6864,GoldProds,4
3033,Wines,112
3033,Fruits,17
3033,MeatProducts,44
3033,FishProducts,34
3033,SweetProducts,22
3033,GoldProds,89
5710,Wines,110
5710,MeatProducts,5
5710,FishProducts,2
5710,GoldProds,3
7373,Wines,96
7373,Fruits,12
7373,MeatProducts,96
7373,FishProducts,33
7373,SweetProducts,22
7373,GoldProds,43
8755,Wines,482
8755,Fruits,34
8755,MeatProducts,471
8755,FishProducts,119
8755,SweetProducts,68
8755,GoldProds,22
10738,Wines,40
10738,MeatProducts,19
10738,FishProducts,2
10738,SweetProducts,1
10738,GoldProds,3
4339,Wines,702
4339,Fruits,17
4339,MeatProducts,151
4339,SweetProducts,8
4339,GoldProds,35
10755,Wines,6
10755,Fruits,3
10755,MeatProducts,14
10755,FishProducts,15
10755,SweetProducts,7
10755,GoldProds,36
8595,Wines,55
8595,MeatProducts,6
8595,FishProducts,2
8595,GoldProds,4
2968,Wines,437
2968,Fruits,8
2968,MeatProducts,206
2968,FishProducts,160
2968,SweetProducts,49
2968,GoldProds,42
8601,Wines,421
8601,Fruits,76
8601,MeatProducts,536
8601,FishProducts,82
8601,SweetProducts,178
8601,GoldProds,102
503,Wines,13
503,Fruits,1
503,MeatProducts,29
503,FishProducts,3
503,GoldProds,7
8430,Wines,9
8430,MeatProducts,6
8430,FishProducts,3
8430,SweetProducts,1
8430,GoldProds,3
7281,Wines,81
7281,Fruits,11
7281,MeatProducts,50
7281,FishProducts,3
7281,SweetProducts,2
7281,GoldProds,39
2139,Wines,3
2139,Fruits,1
2139,MeatProducts,10
2139,FishProducts,3
2139,SweetProducts,2
2139,GoldProds,12
1371,Wines,123
1371,Fruits,164
1371,MeatProducts,266
1371,FishProducts,227
1371,SweetProducts,30
1371,GoldProds,174
9909,Wines,3
9909,Fruits,18
9909,MeatProducts,14
9909,FishProducts,15
9909,SweetProducts,22
9909,GoldProds,50
7286,Wines,13
7286,Fruits,6
7286,MeatProducts,15
7286,FishProducts,3
7286,SweetProducts,5
7286,GoldProds,13
7244,Wines,48
7244,Fruits,5
7244,MeatProducts,48
7244,FishProducts,6
7244,SweetProducts,10
7244,GoldProds,7
6566,Wines,826
6566,Fruits,50
6566,MeatProducts,317
6566,FishProducts,50
6566,SweetProducts,38
6566,GoldProds,38
8614,Wines,245
8614,Fruits,19
8614,MeatProducts,125
8614,FishProducts,37
8614,SweetProducts,67
8614,GoldProds,14
4114,Wines,650
4114,Fruits,37
4114,MeatProducts,780
4114,FishProducts,27
4114,SweetProducts,167
4114,GoldProds,32
1331,Wines,12
1331,Fruits,6
1331,MeatProducts,20
1331,FishProducts,30
1331,SweetProducts,1
1331,GoldProds,3
2225,Wines,510
2225,Fruits,120
2225,MeatProducts,550
2225,FishProducts,156
2225,SweetProducts,40
2225,GoldProds,241
9381,Wines,328
9381,Fruits,9
9381,MeatProducts,124
9381,FishProducts,12
9381,SweetProducts,24
9381,GoldProds,109
6260,Wines,984
6260,Fruits,51
6260,MeatProducts,432
6260,FishProducts,180
6260,SweetProducts,120
6260,GoldProds,190
10383,Wines,295
10383,Fruits,35
10383,MeatProducts,482
10383,FishProducts,121
10383,SweetProducts,120
10383,GoldProds,40
7437,Wines,13
7437,MeatProducts,8
7437,FishProducts,2
7437,SweetProducts,1
7437,GoldProds,5
8557,Wines,11
8557,Fruits,3
8557,MeatProducts,22
8557,FishProducts,2
8557,SweetProducts,2
8557,GoldProds,6
8375,Wines,447
8375,MeatProducts,28
8375,GoldProds,43
6853,Wines,712
6853,Fruits,26
6853,MeatProducts,538
6853,FishProducts,69
6853,SweetProducts,13
6853,GoldProds,80
3076,Wines,452
3076,Fruits,18
3076,MeatProducts,102
3076,FishProducts,16
3076,SweetProducts,18
3076,GoldProds,6
1012,Wines,523
1012,Fruits,7
1012,MeatProducts,134
1012,FishProducts,37
1012,SweetProducts,14
1012,GoldProds,169
6518,Wines,546
6518,MeatProducts,48
6518,SweetProducts,6
6518,GoldProds,6
4137,Wines,398
4137,Fruits,40
4137,MeatProducts,367
4137,FishProducts,119
4137,SweetProducts,122
4137,GoldProds,30
8082,Wines,1
8082,Fruits,3
8082,MeatProducts,6
8082,FishProducts,3
8082,SweetProducts,6
8082,GoldProds,15
1386,Wines,10
1386,MeatProducts,1
9369,Wines,688
9369,Fruits,14
9369,MeatProducts,309
9369,FishProducts,201
9369,SweetProducts,24
9369,GoldProds,38
4477,Wines,247
4477,Fruits,49
4477,MeatProducts,159
4477,FishProducts,7
4477,SweetProducts,82
4477,GoldProds,109
1357,Wines,856
1357,Fruits,59
1357,MeatProducts,487
1357,FishProducts,58
1357,SweetProducts,29
1357,GoldProds,73
1402,Wines,496
1402,Fruits,36
1402,MeatProducts,460
1402,FishProducts,189
1402,SweetProducts,60
1402,GoldProds,12
10629,Wines,25
10629,Fruits,3
10629,MeatProducts,43
10629,FishProducts,17
10629,SweetProducts,4
10629,GoldProds,17
6312,Wines,258
6312,Fruits,107
6312,MeatProducts,291
6312,FishProducts,84
6312,SweetProducts,37
6312,GoldProds,86
8132,Wines,565
8132,Fruits,6
8132,MeatProducts,65
8132,SweetProducts,6
8132,GoldProds,19
1050,Wines,14
1050,Fruits,10
1050,MeatProducts,13
1050,FishProducts,4
1050,SweetProducts,15
1050,GoldProds,9
5846,Wines,2
5846,Fruits,1
5846,MeatProducts,6
5846,FishProducts,2
5846,SweetProducts,1
5846,GoldProds,1
1859,Wines,721
1859,Fruits,111
1859,MeatProducts,925
1859,FishProducts,97
1859,SweetProducts,18
1859,GoldProds,18
7503,Wines,1032
7503,Fruits,105
7503,MeatProducts,779
7503,FishProducts,137
7503,SweetProducts,105
7503,GoldProds,51
10401,Wines,1
10401,MeatProducts,5
10401,SweetProducts,3
10401,GoldProds,9
1618,Wines,577
1618,MeatProducts,64
1618,GoldProds,51
3332,Wines,64
3332,Fruits,4
3332,MeatProducts,68
3332,FishProducts,7
3332,SweetProducts,5
3332,GoldProds,17
2261,Wines,4
2261,Fruits,1
2261,MeatProducts,5
2261,FishProducts,2
2261,GoldProds,4
5346,Wines,25
5346,Fruits,5
5346,MeatProducts,19
5346,FishProducts,7
5346,GoldProds,23
4119,Wines,112
4119,Fruits,17
4119,MeatProducts,44
4119,FishProducts,34
4119,SweetProducts,22
4119,GoldProds,89
535,Wines,163
535,Fruits,23
535,MeatProducts,424
535,FishProducts,27
535,SweetProducts,65
535,GoldProds,76
5268,Wines,17
5268,Fruits,8
5268,MeatProducts,14
5268,FishProducts,10
5268,SweetProducts,4
5268,GoldProds,3
273,Wines,130
273,MeatProducts,16
273,GoldProds,5
4452,Wines,292
4452,Fruits,6
4452,MeatProducts,37
4452,SweetProducts,3
4452,GoldProds,34
8504,Wines,350
8504,Fruits,60
8504,MeatProducts,568
8504,FishProducts,110
8504,SweetProducts,133
8504,GoldProds,145
771,Wines,135
771,Fruits,9
771,MeatProducts,39
771,FishProducts,4
771,GoldProds,7
8996,Wines,230
8996,Fruits,42
8996,MeatProducts,192
8996,FishProducts,49
8996,SweetProducts,37
8996,GoldProds,53
9235,Wines,7
9235,MeatProducts,8
9235,FishProducts,2
9235,GoldProds,1
5798,Wines,445
5798,Fruits,37
5798,MeatProducts,359
5798,FishProducts,98
5798,SweetProducts,28
5798,GoldProds,18
11178,Wines,15
11178,Fruits,2
11178,MeatProducts,10
11178,SweetProducts,1
11178,GoldProds,4
2230,Wines,27
2230,Fruits,2
2230,MeatProducts,14
7516,Wines,5
7516,Fruits,3
7516,MeatProducts,11
7516,FishProducts,12
7516,SweetProducts,5
7516,GoldProds,9
7247,Wines,505
7247,MeatProducts,26
7247,GoldProds,75
11100,Wines,51
11100,Fruits,2
11100,MeatProducts,7
11100,SweetProducts,1
11100,GoldProds,2
4646,Wines,207
4646,Fruits,26
4646,MeatProducts,447
4646,FishProducts,75
4646,GoldProds,223
3037,Wines,135
3037,Fruits,46
3037,MeatProducts,92
3037,FishProducts,65
3037,SweetProducts,61
3037,GoldProds,11
1473,Wines,53
1473,Fruits,1
1473,MeatProducts,5
1473,FishProducts,2
1473,SweetProducts,1
1473,GoldProds,10
1016,Wines,41
1016,Fruits,1
1016,MeatProducts,6
1016,FishProducts,2
1016,GoldProds,5
4518,Wines,386
4518,Fruits,172
4518,MeatProducts,183
4518,FishProducts,185
4518,SweetProducts,132
4518,GoldProds,111
9370,Wines,562
9370,Fruits,81
9370,MeatProducts,276
9370,FishProducts,80
9370,SweetProducts,40
9370,GoldProds,81
8908,Wines,217
8908,Fruits,76
8908,MeatProducts,690
8908,FishProducts,50
8908,SweetProducts,26
8908,GoldProds,38
8373,Wines,1
8373,Fruits,3
8373,MeatProducts,6
8373,FishProducts,10
8373,GoldProds,9
7533,Wines,144
7533,Fruits,1
7533,MeatProducts,32
7533,FishProducts,2
7533,SweetProducts,1
7533,GoldProds,7
2683,Wines,295
2683,Fruits,106
2683,MeatProducts,271
2683,FishProducts,75
2683,SweetProducts,98
2683,GoldProds,65
3629,Wines,76
3629,Fruits,3
3629,MeatProducts,31
3629,FishProducts,4
3629,SweetProducts,4
3629,GoldProds,27
10991,Wines,454
10991,Fruits,194
10991,MeatProducts,106
10991,FishProducts,31
10991,SweetProducts,22
10991,GoldProds,43
5077,Wines,425
5077,Fruits,115
5077,MeatProducts,292
5077,FishProducts,23
5077,SweetProducts,35
5077,GoldProds,79
7431,Wines,1332
7431,Fruits,17
7431,MeatProducts,311
7431,FishProducts,23
7431,SweetProducts,51
7431,GoldProds,86
3267,Wines,527
3267,MeatProducts,21
3267,GoldProds,60
999,Wines,490
999,Fruits,44
999,MeatProducts,125
999,FishProducts,29
999,SweetProducts,20
999,GoldProds,22
9215,Wines,378
9215,MeatProducts,101
9215,GoldProds,72
2286,Wines,64
2286,Fruits,1
2286,MeatProducts,21
2286,SweetProducts,1
2286,GoldProds,27
1592,Wines,547
1592,Fruits,99
1592,MeatProducts,812
1592,FishProducts,151
1592,SweetProducts,82
1592,GoldProds,33
367,Wines,47
367,Fruits,90
367,MeatProducts,94
367,FishProducts,123
367,SweetProducts,103
367,GoldProds,120
5234,Wines,12
5234,Fruits,5
5234,MeatProducts,25
5234,SweetProducts,9
5234,GoldProds,30
9862,Wines,1
9862,Fruits,6
9862,MeatProducts,7
9862,FishProducts,11
9862,SweetProducts,5
9862,GoldProds,3
9805,Wines,320
9805,Fruits,48
9805,MeatProducts,133
9805,FishProducts,39
9805,SweetProducts,72
9805,GoldProds,48
6205,Wines,34
6205,Fruits,3
6205,MeatProducts,29
6205,SweetProducts,4
6205,GoldProds,10
8442,Wines,9
8442,MeatProducts,7
8442,FishProducts,3
8442,SweetProducts,4
8442,GoldProds,7
7386,Wines,17
7386,MeatProducts,14
7386,FishProducts,7
7386,SweetProducts,3
7386,GoldProds,2
7215,Wines,722
7215,Fruits,27
7215,MeatProducts,102
7215,FishProducts,44
7215,SweetProducts,72
7215,GoldProds,168
1491,Wines,162
1491,Fruits,33
1491,MeatProducts,124
1491,FishProducts,40
1491,SweetProducts,28
1491,GoldProds,172
11071,Wines,450
11071,Fruits,133
11071,MeatProducts,951
11071,FishProducts,173
11071,GoldProds,216
3381,Wines,70
